Name,Product_link,Price,Image_link
Animal Print Asymmetric Gathered Maxi Dress,https://www.esthe.co.uk/product/animal-print-asymmetric-gathered-maxi-dress-brown-animal-print/,"189,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31371-768x1075.jpg
Animal Print Asymmetric Gathered Top,https://www.esthe.co.uk/product/animal-print-asymmetric-gathered-top-black-animal-print/,"69,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32751-768x1075.jpg
Animal Print Contrast Pleated Bralette,https://www.esthe.co.uk/product/animal-print-contrast-pleated-bralette-black-animal-print/,"46,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32301-768x1075.jpg
Animal Print Contrast Pleated Sheer Top,https://www.esthe.co.uk/product/animal-print-contrast-pleated-sheer-top-brown-animal-print/,"99,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31721-768x1075.jpg
Animal Print Cut-Out Mesh Ribbon Top,https://www.esthe.co.uk/product/animal-print-cut-out-mesh-ribbon-top-black-animal-print/,"99,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32761-768x1075.jpg
Animal Print Cut-Out Organza Jumper,https://www.esthe.co.uk/product/animal-print-cut-out-organza-jumper-black-animal-print/,"129,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32741-768x1075.jpg
Animal Print Drapped Bralette,https://www.esthe.co.uk/product/animal-print-drapped-bralette-black-animal-print/,"44,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31211-768x1075.jpg
Animal Print Gathered Front Ribbon Top,https://www.esthe.co.uk/product/animal-print-gathered-front-ribbon-top-brown-animal-print/,"69,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32721-768x1075.jpg
Animal Print Pleated Maxi Skirt,https://www.esthe.co.uk/product/animal-print-pleated-maxi-skirt-black-animal-print/,"124,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32271-768x1075.jpg
Animal Print Pleated Sleeveless Top,https://www.esthe.co.uk/product/animal-print-pleated-sleeveless-top-black-animal-print/,"109,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32391-768x1075.jpg
Animal Print Ruffle Pleated Top,https://www.esthe.co.uk/product/animal-print-ruffle-pleated-top-black-animal-print/,"69,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32731-768x1075.jpg
Animal Print Ruffle Satin Crossbody Bag,https://www.esthe.co.uk/product/animal-print-ruffle-satin-crossbody-bag-black-animal-print/,"129,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32281-768x1075.jpg
Animal Print Satin Bag,https://www.esthe.co.uk/product/animal-print-satin-bag-brown-animal-print/,"79,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31431-768x1075.jpg
Animal Print Sheer Pleated Top,https://www.esthe.co.uk/product/animal-print-sheer-pleated-top-black-animal-print/,"69,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31511-768x1075.jpg
Animal Print Tank Top,https://www.esthe.co.uk/product/animal-print-tank-top-brown-animal-print/,"79,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31251-768x1075.jpg
Asymmetric Heart Cut-Out Maxi Dress,https://www.esthe.co.uk/product/asymmetric-heart-cut-out-maxi-dress-black/,"149,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3162a1-768x1075.jpg
Asymmetric Layered Bodysuit,https://www.esthe.co.uk/product/asymmetric-layered-bodysuit-black/,"109,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3070a1-768x1075.jpg
Cargo Maxi Skirt,https://www.esthe.co.uk/product/cargo-maxi-skirt-black/,"159,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3135b1-768x1075.jpg
Cargo Maxi Skirt,https://www.esthe.co.uk/product/cargo-maxi-skirt-almond-milk/,"159,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3135a1-768x1075.jpg
Cargo Mini Skirt,https://www.esthe.co.uk/product/cargo-mini-skirt-black/,"109,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3124a1-768x1075.jpg
Cargo Trousers,https://www.esthe.co.uk/product/cargo-trousers-black/,"179,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3105b1-768x1075.jpg
Cargo Trousers,https://www.esthe.co.uk/product/cargo-trousers-almond-milk/,"179,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3105a1-768x1075.jpg
Contrast Pleated Bralette,https://www.esthe.co.uk/product/contrast-pleated-bralette-black/,"46,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3146a1-768x1075.jpg
Contrast Pleated Sheer Top,https://www.esthe.co.uk/product/contrast-pleated-sheer-top-black/,"99,90 EUR",https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3089a1-768x1075.jpg
